Well,Gradient,Constituent,CAS,Units,Date,MDL,PQL,Flags,Obs,key
ARAMW-1,d,Antimony,7440-36-0,mg/L,8/20/2020,0.00038,0.002,ND,< 0.00038,ARAMW-1-8/20/2020-Antimony
ARAMW-1,d,Antimony,7440-36-0,mg/L,9/9/2021,0.00038,0.002,ND,< 0.00038,ARAMW-1-9/9/2021-Antimony
ARAMW-1,d,Antimony,7440-36-0,mg/L,2/3/2022,0.00051,0.002,ND,< 0.00051,ARAMW-1-2/3/2022-Antimony
ARAMW-1,d,Antimony,7440-36-0,mg/L,9/2/2022,0.001,0.003,ND,< 0.00100,ARAMW-1-9/2/2022-Antimony
ARAMW-1,d,Antimony,7440-36-0,mg/L,1/31/2023,0.001,0.003,ND,< 0.00100,ARAMW-1-1/31/2023-Antimony
ARAMW-1,d,Antimony,7440-36-0,mg/L,8/8/2023,0.001,0.003,ND,< 0.00100,ARAMW-1-8/8/2023-Antimony
ARAMW-1,d,Arsenic,7440-38-2,mg/L,8/20/2020,0.00031,0.001,ND,< 0.00031,ARAMW-1-8/20/2020-Arsenic
ARAMW-1,d,Arsenic,7440-38-2,mg/L,9/30/2020,0.00031,0.001,ND,< 0.00031,ARAMW-1-9/30/2020-Arsenic
ARAMW-1,d,Arsenic,7440-38-2,mg/L,2/10/2021,0.00031,0.001,ND,< 0.00031,ARAMW-1-2/10/2021-Arsenic
ARAMW-1,d,Arsenic,7440-38-2,mg/L,9/9/2021,0.00031,0.001,ND,< 0.00031,ARAMW-1-9/9/2021-Arsenic
ARAMW-1,d,Arsenic,7440-38-2,mg/L,2/3/2022,0.00028,0.001,ND,< 0.00028,ARAMW-1-2/3/2022-Arsenic
ARAMW-1,d,Arsenic,7440-38-2,mg/L,9/2/2022,0.002,0.005,J,0.00233,ARAMW-1-9/2/2022-Arsenic
ARAMW-1,d,Arsenic,7440-38-2,mg/L,1/31/2023,0.002,0.005,ND,< 0.00200,ARAMW-1-1/31/2023-Arsenic
ARAMW-1,d,Arsenic,7440-38-2,mg/L,8/8/2023,0.002,0.005,ND,< 0.00200,ARAMW-1-8/8/2023-Arsenic
ARAMW-1,d,Barium,7440-39-3,mg/L,8/20/2020,0.0016,0.01,,0.055,ARAMW-1-8/20/2020-Barium
ARAMW-1,d,Barium,7440-39-3,mg/L,9/30/2020,0.0016,0.01,,0.052,ARAMW-1-9/30/2020-Barium
ARAMW-1,d,Barium,7440-39-3,mg/L,2/10/2021,0.0016,0.01,,0.046,ARAMW-1-2/10/2021-Barium
ARAMW-1,d,Barium,7440-39-3,mg/L,9/9/2021,0.0016,0.01,,0.051,ARAMW-1-9/9/2021-Barium
ARAMW-1,d,Barium,7440-39-3,mg/L,2/3/2022,0.0031,0.01,,0.046,ARAMW-1-2/3/2022-Barium
ARAMW-1,d,Barium,7440-39-3,mg/L,9/2/2022,0.00067,0.004,,0.0445,ARAMW-1-9/2/2022-Barium
ARAMW-1,d,Barium,7440-39-3,mg/L,1/31/2023,0.00067,0.004,,0.0427,ARAMW-1-1/31/2023-Barium
ARAMW-1,d,Barium,7440-39-3,mg/L,8/8/2023,0.00067,0.004,,0.0510,ARAMW-1-8/8/2023-Barium
ARAMW-1,d,Beryllium,7440-41-7,mg/L,8/20/2020,0.00018,0.0025,ND,< 0.00018,ARAMW-1-8/20/2020-Beryllium
ARAMW-1,d,Beryllium,7440-41-7,mg/L,9/30/2020,0.00018,0.0025,ND,< 0.00018,ARAMW-1-9/30/2020-Beryllium
ARAMW-1,d,Beryllium,7440-41-7,mg/L,2/10/2021,0.00018,0.0025,ND,< 0.00018,ARAMW-1-2/10/2021-Beryllium
ARAMW-1,d,Beryllium,7440-41-7,mg/L,9/9/2021,0.00018,0.0025,ND,< 0.00018,ARAMW-1-9/9/2021-Beryllium
ARAMW-1,d,Beryllium,7440-41-7,mg/L,2/3/2022,0.00027,0.0025,ND,< 0.00027,ARAMW-1-2/3/2022-Beryllium
ARAMW-1,d,Beryllium,7440-41-7,mg/L,9/2/2022,0.0002,0.0005,ND,< 0.000200,ARAMW-1-9/2/2022-Beryllium
ARAMW-1,d,Beryllium,7440-41-7,mg/L,1/31/2023,0.0002,0.0005,ND,< 0.000200,ARAMW-1-1/31/2023-Beryllium
ARAMW-1,d,Beryllium,7440-41-7,mg/L,8/8/2023,0.0002,0.0005,ND,< 0.000200,ARAMW-1-8/8/2023-Beryllium
ARAMW-1,d,Boron,7440-42-8,mg/L,1/14/2020,0.039,0.08,,1.1,ARAMW-1-1/14/2020-Boron
ARAMW-1,d,Boron,7440-42-8,mg/L,6/24/2020,0.039,0.08,,0.84,ARAMW-1-6/24/2020-Boron
ARAMW-1,d,Boron,7440-42-8,mg/L,9/30/2020,0.039,0.08,,0.98,ARAMW-1-9/30/2020-Boron
ARAMW-1,d,Boron,7440-42-8,mg/L,2/10/2021,0.039,0.08,,0.94,ARAMW-1-2/10/2021-Boron
ARAMW-1,d,Boron,7440-42-8,mg/L,9/9/2021,0.039,0.08,,1.0,ARAMW-1-9/9/2021-Boron
ARAMW-1,d,Boron,7440-42-8,mg/L,2/3/2022,0.06,0.08,,1.1,ARAMW-1-2/3/2022-Boron
ARAMW-1,d,Boron,7440-42-8,mg/L,9/2/2022,0.052,0.15,,1.18,ARAMW-1-9/2/2022-Boron
ARAMW-1,d,Boron,7440-42-8,mg/L,1/31/2023,0.052,0.15,,1.20,ARAMW-1-1/31/2023-Boron
ARAMW-1,d,Boron,7440-42-8,mg/L,8/8/2023,0.104,0.3,,1.13,ARAMW-1-8/8/2023-Boron
ARAMW-1,d,Cadmium,7440-43-9,mg/L,8/20/2020,0.00022,0.0025,ND,< 0.00022,ARAMW-1-8/20/2020-Cadmium
ARAMW-1,d,Cadmium,7440-43-9,mg/L,9/30/2020,0.00022,0.0025,ND,< 0.00022,ARAMW-1-9/30/2020-Cadmium
ARAMW-1,d,Cadmium,7440-43-9,mg/L,2/10/2021,0.00022,0.0025,ND,< 0.00022,ARAMW-1-2/10/2021-Cadmium
ARAMW-1,d,Cadmium,7440-43-9,mg/L,9/9/2021,0.00022,0.0025,ND,< 0.00022,ARAMW-1-9/9/2021-Cadmium
ARAMW-1,d,Cadmium,7440-43-9,mg/L,2/3/2022,0.00022,0.0025,ND,< 0.00022,ARAMW-1-2/3/2022-Cadmium
ARAMW-1,d,Cadmium,7440-43-9,mg/L,9/2/2022,0.0003,0.001,ND,< 0.000300,ARAMW-1-9/2/2022-Cadmium
ARAMW-1,d,Cadmium,7440-43-9,mg/L,1/31/2023,0.0003,0.001,ND,< 0.000300,ARAMW-1-1/31/2023-Cadmium
ARAMW-1,d,Cadmium,7440-43-9,mg/L,8/8/2023,0.0003,0.001,ND,< 0.000300,ARAMW-1-8/8/2023-Cadmium
ARAMW-1,d,Calcium,7440-70-2,mg/L,6/24/2020,0.13,0.5,,81,ARAMW-1-6/24/2020-Calcium
ARAMW-1,d,Calcium,7440-70-2,mg/L,9/30/2020,0.13,0.5,,100,ARAMW-1-9/30/2020-Calcium
ARAMW-1,d,Calcium,7440-70-2,mg/L,2/10/2021,0.13,0.5,,93,ARAMW-1-2/10/2021-Calcium
ARAMW-1,d,Calcium,7440-70-2,mg/L,9/9/2021,0.13,0.5,,93,ARAMW-1-9/9/2021-Calcium
ARAMW-1,d,Calcium,7440-70-2,mg/L,2/3/2022,0.13,0.5,,93,ARAMW-1-2/3/2022-Calcium
ARAMW-1,d,Calcium,7440-70-2,mg/L,9/2/2022,0.8,2.0,,80.5,ARAMW-1-9/2/2022-Calcium
ARAMW-1,d,Calcium,7440-70-2,mg/L,1/31/2023,0.8,2.0,,87.7,ARAMW-1-1/31/2023-Calcium
ARAMW-1,d,Calcium,7440-70-2,mg/L,8/8/2023,1.6,4.0,,83.4,ARAMW-1-8/8/2023-Calcium
ARAMW-1,d,Chloride,16887-00-6,mg/L,6/24/2020,0.32,1.0,,5.3,ARAMW-1-6/24/2020-Chloride
ARAMW-1,d,Chloride,16887-00-6,mg/L,9/30/2020,0.32,1.0,,5.2,ARAMW-1-9/30/2020-Chloride
ARAMW-1,d,Chloride,16887-00-6,mg/L,2/10/2021,0.71,1.0,,5.3,ARAMW-1-2/10/2021-Chloride
ARAMW-1,d,Chloride,16887-00-6,mg/L,9/9/2021,0.71,1.0,,4.5,ARAMW-1-9/9/2021-Chloride
ARAMW-1,d,Chloride,16887-00-6,mg/L,2/3/2022,0.71,1.0,,5.3,ARAMW-1-2/3/2022-Chloride
ARAMW-1,d,Chloride,16887-00-6,mg/L,9/2/2022,0.067,0.2,,3.50,ARAMW-1-9/2/2022-Chloride
ARAMW-1,d,Chloride,16887-00-6,mg/L,1/31/2023,0.067,0.2,,4.36,ARAMW-1-1/31/2023-Chloride
ARAMW-1,d,Chloride,16887-00-6,mg/L,8/8/2023,0.067,0.2,,3.61,ARAMW-1-8/8/2023-Chloride
ARAMW-1,d,Chromium,7440-47-3,mg/L,8/20/2020,0.0015,0.002,ND,< 0.0015,ARAMW-1-8/20/2020-Chromium
ARAMW-1,d,Chromium,7440-47-3,mg/L,9/30/2020,0.0015,0.002,ND,< 0.0015,ARAMW-1-9/30/2020-Chromium
ARAMW-1,d,Chromium,7440-47-3,mg/L,2/10/2021,0.0015,0.002,ND,< 0.0015,ARAMW-1-2/10/2021-Chromium
ARAMW-1,d,Chromium,7440-47-3,mg/L,9/9/2021,0.0015,0.002,ND,< 0.0015,ARAMW-1-9/9/2021-Chromium
ARAMW-1,d,Chromium,7440-47-3,mg/L,2/3/2022,0.0015,0.002,ND,< 0.0015,ARAMW-1-2/3/2022-Chromium
ARAMW-1,d,Chromium,7440-47-3,mg/L,9/2/2022,0.003,0.01,ND,< 0.00300,ARAMW-1-9/2/2022-Chromium
ARAMW-1,d,Chromium,7440-47-3,mg/L,1/31/2023,0.003,0.01,ND,< 0.00300,ARAMW-1-1/31/2023-Chromium
ARAMW-1,d,Chromium,7440-47-3,mg/L,8/8/2023,0.003,0.01,ND,< 0.00300,ARAMW-1-8/8/2023-Chromium
ARAMW-1,d,Cobalt,7440-48-4,mg/L,6/24/2020,0.00013,0.0025,J,0.00097,ARAMW-1-6/24/2020-Cobalt
ARAMW-1,d,Cobalt,7440-48-4,mg/L,8/20/2020,0.00013,0.0025,J,0.0010,ARAMW-1-8/20/2020-Cobalt
ARAMW-1,d,Cobalt,7440-48-4,mg/L,9/30/2020,0.00013,0.0025,J,0.0010,ARAMW-1-9/30/2020-Cobalt
ARAMW-1,d,Cobalt,7440-48-4,mg/L,2/10/2021,0.00013,0.0025,J,0.00082,ARAMW-1-2/10/2021-Cobalt
ARAMW-1,d,Cobalt,7440-48-4,mg/L,9/9/2021,0.00013,0.0025,J,0.00072,ARAMW-1-9/9/2021-Cobalt
ARAMW-1,d,Cobalt,7440-48-4,mg/L,2/3/2022,0.00026,0.0025,J,0.00045,ARAMW-1-2/3/2022-Cobalt
ARAMW-1,d,Cobalt,7440-48-4,mg/L,9/2/2022,0.0003,0.001,J,0.000449,ARAMW-1-9/2/2022-Cobalt
ARAMW-1,d,Cobalt,7440-48-4,mg/L,1/31/2023,0.0003,0.001,J,0.000399,ARAMW-1-1/31/2023-Cobalt
ARAMW-1,d,Cobalt,7440-48-4,mg/L,8/8/2023,0.0003,0.001,J,0.000350,ARAMW-1-8/8/2023-Cobalt
ARAMW-1,d,Fluoride,16984-48-8,mg/L,6/24/2020,0.026,0.1,,0.21,ARAMW-1-6/24/2020-Fluoride
ARAMW-1,d,Fluoride,16984-48-8,mg/L,8/20/2020,0.026,0.1,,0.23,ARAMW-1-8/20/2020-Fluoride
ARAMW-1,d,Fluoride,16984-48-8,mg/L,9/30/2020,0.026,0.1,,0.20,ARAMW-1-9/30/2020-Fluoride
ARAMW-1,d,Fluoride,16984-48-8,mg/L,2/10/2021,0.026,0.1,,0.21,ARAMW-1-2/10/2021-Fluoride
ARAMW-1,d,Fluoride,16984-48-8,mg/L,9/9/2021,0.026,0.1,,0.21,ARAMW-1-9/9/2021-Fluoride
ARAMW-1,d,Fluoride,16984-48-8,mg/L,2/3/2022,0.026,0.1,,0.16,ARAMW-1-2/3/2022-Fluoride
ARAMW-1,d,Fluoride,16984-48-8,mg/L,9/2/2022,0.033,0.1,,0.180,ARAMW-1-9/2/2022-Fluoride
ARAMW-1,d,Fluoride,16984-48-8,mg/L,1/31/2023,0.033,0.1,,0.220,ARAMW-1-1/31/2023-Fluoride
ARAMW-1,d,Fluoride,16984-48-8,mg/L,8/8/2023,0.033,0.1,,0.118,ARAMW-1-8/8/2023-Fluoride
ARAMW-1,d,Lead,7439-92-1,mg/L,8/20/2020,0.00013,0.001,ND,< 0.00013,ARAMW-1-8/20/2020-Lead
ARAMW-1,d,Lead,7439-92-1,mg/L,9/30/2020,0.00013,0.001,ND,< 0.00013,ARAMW-1-9/30/2020-Lead
ARAMW-1,d,Lead,7439-92-1,mg/L,2/10/2021,0.00013,0.001,ND,< 0.00013,ARAMW-1-2/10/2021-Lead
ARAMW-1,d,Lead,7439-92-1,mg/L,9/9/2021,0.00013,0.001,ND,< 0.00013,ARAMW-1-9/9/2021-Lead
ARAMW-1,d,Lead,7439-92-1,mg/L,2/3/2022,0.00017,0.001,ND,< 0.00017,ARAMW-1-2/3/2022-Lead
ARAMW-1,d,Lead,7439-92-1,mg/L,9/2/2022,0.0005,0.002,ND,< 0.000500,ARAMW-1-9/2/2022-Lead
ARAMW-1,d,Lead,7439-92-1,mg/L,1/31/2023,0.0005,0.002,ND,< 0.000500,ARAMW-1-1/31/2023-Lead
ARAMW-1,d,Lead,7439-92-1,mg/L,8/8/2023,0.0005,0.002,ND,< 0.000500,ARAMW-1-8/8/2023-Lead
ARAMW-1,d,Lithium,7439-93-2,mg/L,1/14/2020,0.0034,0.005,,0.0090,ARAMW-1-1/14/2020-Lithium
ARAMW-1,d,Lithium,7439-93-2,mg/L,2/26/2020,1.9,0.005,J,0.0046,ARAMW-1-2/26/2020-Lithium
ARAMW-1,d,Lithium,7439-93-2,mg/L,6/24/2020,0.0034,0.005,,0.0084,ARAMW-1-6/24/2020-Lithium
ARAMW-1,d,Lithium,7439-93-2,mg/L,8/20/2020,0.0034,0.005,,0.0066,ARAMW-1-8/20/2020-Lithium
ARAMW-1,d,Lithium,7439-93-2,mg/L,9/30/2020,0.0034,0.005,,0.0091,ARAMW-1-9/30/2020-Lithium
ARAMW-1,d,Lithium,7439-93-2,mg/L,2/10/2021,0.0034,0.005,,0.0097,ARAMW-1-2/10/2021-Lithium
ARAMW-1,d,Lithium,7439-93-2,mg/L,9/9/2021,0.0034,0.005,,0.0095,ARAMW-1-9/9/2021-Lithium
ARAMW-1,d,Lithium,7439-93-2,mg/L,2/3/2022,0.00083,0.005,,0.0099,ARAMW-1-2/3/2022-Lithium
ARAMW-1,d,Lithium,7439-93-2,mg/L,9/2/2022,0.003,0.01,J,0.00970,ARAMW-1-9/2/2022-Lithium
ARAMW-1,d,Lithium,7439-93-2,mg/L,1/31/2023,0.003,0.01,J,0.00990,ARAMW-1-1/31/2023-Lithium
