Well,Gradient,Constituent,CAS,Units,Date,MDL,PQL,Flags,Obs,key
ARAMW-1,d,Antimony,7440-36-0,mg/L,8/20/2020,,0.002,ND,,ARAMW-1-8/20/2020-Antimony
ARAMW-1,d,Antimony,7440-36-0,mg/L,9/9/2021,,0.002,ND,,ARAMW-1-9/9/2021-Antimony
ARAMW-1,d,Antimony,7440-36-0,mg/L,2/3/2022,,0.002,ND,,ARAMW-1-2/3/2022-Antimony
ARAMW-1,d,Antimony,7440-36-0,mg/L,9/2/2022,,0.003,ND,,ARAMW-1-9/2/2022-Antimony
ARAMW-1,d,Antimony,7440-36-0,mg/L,1/31/2023,,0.003,ND,,ARAMW-1-1/31/2023-Antimony
ARAMW-2,d,Antimony,7440-36-0,mg/L,8/20/2020,,0.002,ND,,ARAMW-2-8/20/2020-Antimony
ARAMW-2,d,Antimony,7440-36-0,mg/L,9/10/2021,,0.002,ND,,ARAMW-2-9/10/2021-Antimony
ARAMW-2,d,Antimony,7440-36-0,mg/L,2/3/2022,,0.002,ND,,ARAMW-2-2/3/2022-Antimony
ARAMW-2,d,Antimony,7440-36-0,mg/L,9/2/2022,,0.003,ND,,ARAMW-2-9/2/2022-Antimony
ARAMW-2,d,Antimony,7440-36-0,mg/L,1/31/2023,,0.003,ND,,ARAMW-2-1/31/2023-Antimony
ARAMW-7,d,Antimony,7440-36-0,mg/L,9/10/2021,,0.002,ND,,ARAMW-7-9/10/2021-Antimony
ARAMW-7,d,Antimony,7440-36-0,mg/L,2/2/2022,,0.002,ND,,ARAMW-7-2/2/2022-Antimony
ARAMW-7,d,Antimony,7440-36-0,mg/L,9/7/2022,,0.003,ND,,ARAMW-7-9/7/2022-Antimony
ARAMW-7,d,Antimony,7440-36-0,mg/L,1/31/2023,,0.003,ND,,ARAMW-7-1/31/2023-Antimony
ARAMW-8,d,Antimony,7440-36-0,mg/L,9/9/2021,,0.002,ND,,ARAMW-8-9/9/2021-Antimony
ARAMW-8,d,Antimony,7440-36-0,mg/L,2/3/2022,,0.002,ND,,ARAMW-8-2/3/2022-Antimony
ARAMW-8,d,Antimony,7440-36-0,mg/L,9/2/2022,,0.003,ND,,ARAMW-8-9/2/2022-Antimony
ARAMW-8,d,Antimony,7440-36-0,mg/L,1/31/2023,,0.003,ND,,ARAMW-8-1/31/2023-Antimony
ARGWA-19,u,Antimony,7440-36-0,mg/L,8/29/2016,0.0025,,ND,,ARGWA-19-8/29/2016-Antimony
ARGWA-19,u,Antimony,7440-36-0,mg/L,10/24/2016,0.003,,ND,,ARGWA-19-10/24/2016-Antimony
ARGWA-19,u,Antimony,7440-36-0,mg/L,1/25/2017,0.0025,,ND,,ARGWA-19-1/25/2017-Antimony
ARGWA-19,u,Antimony,7440-36-0,mg/L,4/10/2017,0.0025,,ND,,ARGWA-19-4/10/2017-Antimony
ARGWA-19,u,Antimony,7440-36-0,mg/L,6/19/2017,0.0025,,ND,,ARGWA-19-6/19/2017-Antimony
ARGWA-19,u,Antimony,7440-36-0,mg/L,10/24/2017,0.0025,,ND,,ARGWA-19-10/24/2017-Antimony
ARGWA-19,u,Antimony,7440-36-0,mg/L,4/10/2018,0.0025,,ND,,ARGWA-19-4/10/2018-Antimony
ARGWA-19,u,Antimony,7440-36-0,mg/L,10/16/2018,0.0025,,ND,,ARGWA-19-10/16/2018-Antimony
ARGWA-19,u,Antimony,7440-36-0,mg/L,8/20/2019,,0.002,ND,,ARGWA-19-8/20/2019-Antimony
ARGWA-19,u,Antimony,7440-36-0,mg/L,8/19/2020,,0.002,ND,,ARGWA-19-8/19/2020-Antimony
ARGWA-19,u,Antimony,7440-36-0,mg/L,9/7/2021,,0.002,ND,,ARGWA-19-9/7/2021-Antimony
ARGWA-19,u,Antimony,7440-36-0,mg/L,2/1/2022,,0.002,ND,,ARGWA-19-2/1/2022-Antimony
ARGWA-19,u,Antimony,7440-36-0,mg/L,9/1/2022,,0.003,ND,,ARGWA-19-9/1/2022-Antimony
ARGWA-19,u,Antimony,7440-36-0,mg/L,1/31/2023,,0.003,ND,,ARGWA-19-1/31/2023-Antimony
ARGWA-20,u,Antimony,7440-36-0,mg/L,8/29/2016,0.0025,,ND,,ARGWA-20-8/29/2016-Antimony
ARGWA-20,u,Antimony,7440-36-0,mg/L,10/24/2016,0.003,,ND,,ARGWA-20-10/24/2016-Antimony
ARGWA-20,u,Antimony,7440-36-0,mg/L,1/25/2017,0.0025,,ND,,ARGWA-20-1/25/2017-Antimony
ARGWA-20,u,Antimony,7440-36-0,mg/L,4/10/2017,0.0025,,ND,,ARGWA-20-4/10/2017-Antimony
